Carrer / Calle;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
BACHILLER;258057;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36089073143580547, 39.4813705434881], ""type"": ""Point""}";39.4813705434881, -0.36089073143580547
BACHILLER;258058;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36097296384154387, 39.48125354947227], ""type"": ""Point""}";39.48125354947227, -0.36097296384154387
JOSE MARIA MORTES LERMA;258060;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4042036592230571, 39.46275313350821], ""type"": ""Point""}";39.46275313350821, -0.4042036592230571
BERNAT Y BALDOVI;258061;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36485604379398484, 39.48000783405533], ""type"": ""Point""}";39.48000783405533, -0.36485604379398484
PROFESOR TAMARIT OLMOS;258065;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3620652253032515, 39.48045120174321], ""type"": ""Point""}";39.48045120174321, -0.3620652253032515
MENENDEZ Y PELAYO;258067;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.36085078650551716, 39.4792938550619], ""type"": ""Point""}";39.4792938550619, -0.36085078650551716
MENENDEZ Y PELAYO;258069;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3607274375712939, 39.47939828487376], ""type"": ""Point""}";39.47939828487376, -0.3607274375712939
MENENDEZ Y PELAYO;258071;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.359343470575429, 39.47899112366243], ""type"": ""Point""}";39.47899112366243, -0.359343470575429
MENENDEZ Y PELAYO;258073;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3578110615445596, 39.47839753996369], ""type"": ""Point""}";39.47839753996369, -0.3578110615445596
GASCO OLIAG;258074;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3574582389025207, 39.47815591991534], ""type"": ""Point""}";39.47815591991534, -0.3574582389025207
CURA BAU;258076;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.40400326850860807, 39.53965399416943], ""type"": ""Point""}";39.53965399416943, -0.40400326850860807
DUQUE DE MANDAS;258078;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.3692404958458579, 39.49367040813453], ""type"": ""Point""}";39.49367040813453, -0.3692404958458579
PINTOR MANUEL SIGUENZA;258079;3;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.33925846352662714, 39.42139671498835], ""type"": ""Point""}";39.42139671498835, -0.33925846352662714
ROSALES;258082;2;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38710050448035555, 39.49176347656313], ""type"": ""Point""}";39.49176347656313, -0.38710050448035555
JESUS;258083;4;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.38879524875421384, 39.46009613930358], ""type"": ""Point""}";39.46009613930358, -0.38879524875421384
RAMIRO DE MAEZTU;258084;8;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.34940801025370133, 39.46779403942783], ""type"": ""Point""}";39.46779403942783, -0.34940801025370133
AVE MARIA;258096;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4252372542192508, 39.50305653051296], ""type"": ""Point""}";39.50305653051296, -0.4252372542192508
CULLERA;258098;1;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.4264373829045498, 39.50271327107584], ""type"": ""Point""}";39.50271327107584, -0.4264373829045498
LINTERNA;258100;6;GIS;2023-06-19T02:53:54+02:00;GIS;2023-06-19T02:53:54+02:00;"{""coordinates"": [-0.379325845779583, 39.472350292502455], ""type"": ""Point""}";39.472350292502455, -0.379325845779583
