Tipus / Tipo;OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
A - Horquilla;265736;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3854493709337185, 39.45907789992173], ""type"": ""Point""}";39.45907789992173, -0.3854493709337185
A - Horquilla;265737;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3244627788461182, 39.471800254498], ""type"": ""Point""}";39.471800254498, -0.3244627788461182
A - Horquilla;265738;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3696851743556637, 39.462328899501884], ""type"": ""Point""}";39.462328899501884, -0.3696851743556637
A - Horquilla;265741;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3642745460337667, 39.476438938188124], ""type"": ""Point""}";39.476438938188124, -0.3642745460337667
A - Horquilla;265748;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36623057840076545, 39.494032811753456], ""type"": ""Point""}";39.494032811753456, -0.36623057840076545
A - Horquilla;265750;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.38489929784155036, 39.466152941603106], ""type"": ""Point""}";39.466152941603106, -0.38489929784155036
A - Horquilla;265752;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3711972983725176, 39.46256671216876], ""type"": ""Point""}";39.46256671216876, -0.3711972983725176
A - Horquilla;265754;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3923206071145136, 39.48243479417348], ""type"": ""Point""}";39.48243479417348, -0.3923206071145136
A - Horquilla;265757;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3717084956457789, 39.466837876969386], ""type"": ""Point""}";39.466837876969386, -0.3717084956457789
A - Horquilla;265765;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37253179111725304, 39.48763418045966], ""type"": ""Point""}";39.48763418045966, -0.37253179111725304
B - Estuctura;265768;5;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.38086556190285964, 39.47898014681873], ""type"": ""Point""}";39.47898014681873, -0.38086556190285964
A - Horquilla;265772;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40160789509255723, 39.47147044499501], ""type"": ""Point""}";39.47147044499501, -0.40160789509255723
A - Horquilla;265773;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3785443658340138, 39.4714722181651], ""type"": ""Point""}";39.4714722181651, -0.3785443658340138
A - Horquilla;265774;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3760245712332061, 39.48907374737754], ""type"": ""Point""}";39.48907374737754, -0.3760245712332061
A - Horquilla;265775;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3976249840277911, 39.484970897370744], ""type"": ""Point""}";39.484970897370744, -0.3976249840277911
A - Horquilla;265776;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3417732639441611, 39.46004730568026], ""type"": ""Point""}";39.46004730568026, -0.3417732639441611
A - Horquilla;265777;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36744494116617643, 39.48888104328187], ""type"": ""Point""}";39.48888104328187, -0.36744494116617643
A - Horquilla;265780;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3568406373193169, 39.47621186360451], ""type"": ""Point""}";39.47621186360451, -0.3568406373193169
A - Horquilla;265781;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3359705891575159, 39.4589007080799], ""type"": ""Point""}";39.4589007080799, -0.3359705891575159
A - Horquilla;265785;14;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3708914501010292, 39.47019510711722], ""type"": ""Point""}";39.47019510711722, -0.3708914501010292
B - Estuctura;265790;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3953716827669962, 39.480876880330165], ""type"": ""Point""}";39.480876880330165, -0.3953716827669962
A - Horquilla;265792;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37149303814808876, 39.45896369148826], ""type"": ""Point""}";39.45896369148826, -0.37149303814808876
A - Horquilla;265794;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.34257671092571756, 39.46818902982843], ""type"": ""Point""}";39.46818902982843, -0.34257671092571756
A - Horquilla;265796;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40335584987821704, 39.47704399900617], ""type"": ""Point""}";39.47704399900617, -0.40335584987821704
A - Horquilla;265798;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3463785258859401, 39.456794864904495], ""type"": ""Point""}";39.456794864904495, -0.3463785258859401
A - Horquilla;265800;2;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3733990422127358, 39.45923154415969], ""type"": ""Point""}";39.45923154415969, -0.3733990422127358
A - Horquilla;265809;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3971345106884678, 39.46533041385078], ""type"": ""Point""}";39.46533041385078, -0.3971345106884678
A - Horquilla;265812;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3520214931511764, 39.47159316623851], ""type"": ""Point""}";39.47159316623851, -0.3520214931511764
A - Horquilla;265813;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3939522908163384, 39.4779608232965], ""type"": ""Point""}";39.4779608232965, -0.3939522908163384
A - Horquilla;265817;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3603486257429254, 39.482944222437965], ""type"": ""Point""}";39.482944222437965, -0.3603486257429254
A - Horquilla;265824;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3991038486417339, 39.46181395931318], ""type"": ""Point""}";39.46181395931318, -0.3991038486417339
A - Horquilla;265825;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39324757691669515, 39.479036380529635], ""type"": ""Point""}";39.479036380529635, -0.39324757691669515
A - Horquilla;265830;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3877488451708056, 39.474103225971895], ""type"": ""Point""}";39.474103225971895, -0.3877488451708056
A - Horquilla;265837;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39771232493346903, 39.48137677930647], ""type"": ""Point""}";39.48137677930647, -0.39771232493346903
A - Horquilla;265840;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.35988527533105485, 39.48672926509143], ""type"": ""Point""}";39.48672926509143, -0.35988527533105485
A - Horquilla;265842;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.33498734626440485, 39.466094776484674], ""type"": ""Point""}";39.466094776484674, -0.33498734626440485
A - Horquilla;265843;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.40205419033602185, 39.49337544467931], ""type"": ""Point""}";39.49337544467931, -0.40205419033602185
A - Horquilla;265848;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.38012966495764583, 39.47892209964005], ""type"": ""Point""}";39.47892209964005, -0.38012966495764583
A - Horquilla;265850;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36264348977685734, 39.47234453353451], ""type"": ""Point""}";39.47234453353451, -0.36264348977685734
A - Horquilla;265852;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4010914575178412, 39.48811122256481], ""type"": ""Point""}";39.48811122256481, -0.4010914575178412
A - Horquilla;265857;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39250983974796466, 39.483000892650054], ""type"": ""Point""}";39.483000892650054, -0.39250983974796466
A - Horquilla;265859;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37588185988092004, 39.457553181789905], ""type"": ""Point""}";39.457553181789905, -0.37588185988092004
B - Estuctura;265861;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36023100371097144, 39.46789579912497], ""type"": ""Point""}";39.46789579912497, -0.36023100371097144
A - Horquilla;265869;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3645366798549787, 39.494046626836656], ""type"": ""Point""}";39.494046626836656, -0.3645366798549787
B - Estuctura;265873;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36921120241646754, 39.47175334852377], ""type"": ""Point""}";39.47175334852377, -0.36921120241646754
A - Horquilla;265875;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39257173001608836, 39.46024021433312], ""type"": ""Point""}";39.46024021433312, -0.39257173001608836
A - Horquilla;265878;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3725106428430435, 39.46361448792836], ""type"": ""Point""}";39.46361448792836, -0.3725106428430435
A - Horquilla;265880;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3825610812994634, 39.49556682097237], ""type"": ""Point""}";39.49556682097237, -0.3825610812994634
A - Horquilla;265882;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3820645369449634, 39.471858448254764], ""type"": ""Point""}";39.471858448254764, -0.3820645369449634
A - Horquilla;265883;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3854388216840726, 39.47748850380569], ""type"": ""Point""}";39.47748850380569, -0.3854388216840726
A - Horquilla;265884;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3522005321516755, 39.46561141658689], ""type"": ""Point""}";39.46561141658689, -0.3522005321516755
A - Horquilla;265886;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3474724834260219, 39.47745721480484], ""type"": ""Point""}";39.47745721480484, -0.3474724834260219
A - Horquilla;265888;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37686933521926286, 39.46633298095419], ""type"": ""Point""}";39.46633298095419, -0.37686933521926286
A - Horquilla;265898;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3466402305409654, 39.45499168922475], ""type"": ""Point""}";39.45499168922475, -0.3466402305409654
A - Horquilla;265900;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3910236552111262, 39.492156398332455], ""type"": ""Point""}";39.492156398332455, -0.3910236552111262
A - Horquilla;265902;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.397016831658491, 39.4802612531915], ""type"": ""Point""}";39.4802612531915, -0.397016831658491
A - Horquilla;265911;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3364263418860018, 39.4599264859923], ""type"": ""Point""}";39.4599264859923, -0.3364263418860018
A - Horquilla;265917;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3823577530057508, 39.46714703326813], ""type"": ""Point""}";39.46714703326813, -0.3823577530057508
A - Horquilla;265919;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3235798619564878, 39.46313807682593], ""type"": ""Point""}";39.46313807682593, -0.3235798619564878
B - Estuctura;265925;5;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36195373104196776, 39.473190782839566], ""type"": ""Point""}";39.473190782839566, -0.36195373104196776
A - Horquilla;265930;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.35474414969853324, 39.467060053616024], ""type"": ""Point""}";39.467060053616024, -0.35474414969853324
A - Horquilla;266468;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3784894756700261, 39.494373445562665], ""type"": ""Point""}";39.494373445562665, -0.3784894756700261
A - Horquilla;265933;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37155191534157045, 39.48625500118012], ""type"": ""Point""}";39.48625500118012, -0.37155191534157045
A - Horquilla;265936;8;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3932099396908452, 39.48563672961996], ""type"": ""Point""}";39.48563672961996, -0.3932099396908452
A - Horquilla;265938;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.35249080083848927, 39.46196641415553], ""type"": ""Point""}";39.46196641415553, -0.35249080083848927
A - Horquilla;265939;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.33668611996831943, 39.474728609831935], ""type"": ""Point""}";39.474728609831935, -0.33668611996831943
A - Horquilla;265948;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3197970420431222, 39.36739914467765], ""type"": ""Point""}";39.36739914467765, -0.3197970420431222
A - Horquilla;265956;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.36981070623621476, 39.460715399907585], ""type"": ""Point""}";39.460715399907585, -0.36981070623621476
A - Horquilla;265958;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.37326812827199046, 39.47820462972079], ""type"": ""Point""}";39.47820462972079, -0.37326812827199046
B - Estuctura;265959;5;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.35645121214210124, 39.475557455325614], ""type"": ""Point""}";39.475557455325614, -0.35645121214210124
A - Horquilla;265964;4;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3727918035132183, 39.46103283165401], ""type"": ""Point""}";39.46103283165401, -0.3727918035132183
A - Horquilla;265968;20;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.4002932865545884, 39.49007909814884], ""type"": ""Point""}";39.49007909814884, -0.4002932865545884
A - Horquilla;265970;6;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.3696910509980402, 39.46051105691165], ""type"": ""Point""}";39.46051105691165, -0.3696910509980402
A - Horquilla;265971;10;GIS;2023-06-19T02:56:07+02:00;GIS;2023-06-19T02:56:07+02:00;"{""coordinates"": [-0.39044590227966414, 39.476446888497335], ""type"": ""Point""}";39.476446888497335, -0.39044590227966414
