DISTRICTE;BARRI;GRUP;HABITANTS GRUP;HABITANTS;HABITANTS 20-70;TOTAL;LLIURES;ORA;GUALS;PÀRQUINGS;SOLARS;ALTRES;TURISMES;PLACES/HABITANTS;PLACES/HABITANTS 20-70;PLACES/TURISMES;HABITANTS/TURISMES;HABITANTS 20-70/TURISMES;HABITANTS/HABITANTS 20-70
L'EIXAMPLE;Districte;Grup;;42618;27453;28438;3576;1123;17269;6398;72;0;19784;0.67;1.04;1.44;2.15;1.39;64.4
EL PLA DEL REAL;Districte;Grup;;30538;19146;21985;5773;983;13007;2209;13;0;15556;0.72;1.15;1.41;1.96;1.23;62.7
BENICALAP;Districte;Grup;;46699;31195;17858;3174;0;12284;0;2400;0;18979;0.38;0.57;0.94;2.46;1.64;66.8
L'EIXAMPLE;Districte;0 - 4;1763;;;;;;;;;;;;;;;;
RASCANYA;Districte;0 - 4;2361;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;0 - 4;881;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;05-sep;1120;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;05-sep;1969;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;05-sep;2045;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;05-sep;1524;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;05-sep;1966;;;;;;;;;;;;;;;;
PATRAIX;Districte;05-sep;2371;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;05-sep;2482;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;05-sep;3268;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;05-sep;329;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;05-sep;905;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;oct-14;2119;;;;;;;;;;;;;;;;
CAMPANAR;Districte;oct-14;2142;;;;;;;;;;;;;;;;
ALGIROS;Districte;oct-14;1394;;;;;;;;;;;;;;;;
BENIMACLET;Districte;oct-14;1128;;;;;;;;;;;;;;;;
BENICALAP;Districte;oct-14;2373;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;oct-14;1049;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;15 - 19;1932;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;15 - 19;2199;;;;;;;;;;;;;;;;
CAMPANAR;Districte;15 - 19;1731;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;15 - 19;1523;;;;;;;;;;;;;;;;
PATRAIX;Districte;15 - 19;3027;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;15 - 19;3640;;;;;;;;;;;;;;;;
BENIMACLET;Districte;15 - 19;1223;;;;;;;;;;;;;;;;
BENICALAP;Districte;15 - 19;2463;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;15 - 19;768;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;20 - 24;1786;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;20 - 24;302;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;20 - 24;968;;;;;;;;;;;;;;;;
CAMPANAR;Districte;25 - 29;1899;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;25 - 29;2838;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;25 - 29;1888;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;25 - 29;3602;;;;;;;;;;;;;;;;
ALGIROS;Districte;25 - 29;2631;;;;;;;;;;;;;;;;
RASCANYA;Districte;25 - 29;3044;;;;;;;;;;;;;;;;
BENICALAP;Districte;25 - 29;2510;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;25 - 29;1116;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;30 -34;2885;;;;;;;;;;;;;;;;
PATRAIX;Districte;30 -34;3261;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;30 -34;4305;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;30 -34;3696;;;;;;;;;;;;;;;;
ALGIROS;Districte;30 -34;2300;;;;;;;;;;;;;;;;
BENICALAP;Districte;30 -34;2863;;;;;;;;;;;;;;;;
POBLATS DEL NORD;Districte;30 -34;340;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;30 -34;1285;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;35 - 39;2922;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;35 - 39;1899;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;35 - 39;3330;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;35 - 39;4010;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;35 - 39;4506;;;;;;;;;;;;;;;;
ALGIROS;Districte;35 - 39;2336;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;35 - 39;1508;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;40 - 44;3719;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;40 - 44;3879;;;;;;;;;;;;;;;;
PATRAIX;Districte;40 - 44;4605;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;40 - 44;6174;;;;;;;;;;;;;;;;
BENIMACLET;Districte;40 - 44;2119;;;;;;;;;;;;;;;;
BENICALAP;Districte;40 - 44;4223;;;;;;;;;;;;;;;;
POBLATS DE L'OEST;Districte;40 - 44;1304;;;;;;;;;;;;;;;;
L'EIXAMPLE;Districte;45 - 49;3361;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;45 - 49;3721;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;45 - 49;3531;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;45 - 49;2034;;;;;;;;;;;;;;;;
L'OLIVERETA;Districte;45 - 49;3913;;;;;;;;;;;;;;;;
POBLATS MARITIMS;Districte;45 - 49;4457;;;;;;;;;;;;;;;;
CAMINS AL GRAU;Districte;45 - 49;5886;;;;;;;;;;;;;;;;
ALGIROS;Districte;45 - 49;2309;;;;;;;;;;;;;;;;
BENICALAP;Districte;45 - 49;3924;;;;;;;;;;;;;;;;
POBLATS DEL SUD;Districte;45 - 49;1581;;;;;;;;;;;;;;;;
CIUTAT VELLA;Districte;50 - 54;2061;;;;;;;;;;;;;;;;
EXTRAMURS;Districte;50 - 54;3675;;;;;;;;;;;;;;;;
LA SAIDIA;Districte;50 - 54;3594;;;;;;;;;;;;;;;;
EL PLA DEL REAL;Districte;50 - 54;2037;;;;;;;;;;;;;;;;
JESUS;Districte;50 - 54;4150;;;;;;;;;;;;;;;;
QUATRE CARRERES;Districte;50 - 54;6064;;;;;;;;;;;;;;;;
BENIMACLET;Districte;50 - 54;2081;;;;;;;;;;;;;;;;
