OBJECTID;Nombre Places / Número Plazas;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
171326;1;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.3774020877695984, 39.471388068173276], ""type"": ""Point""}";39.471388068173276, -0.3774020877695984
171327;1;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.37715662464744937, 39.47171525026501], ""type"": ""Point""}";39.47171525026501, -0.37715662464744937
171329;1;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.40124734853291644, 39.47380222800834], ""type"": ""Point""}";39.47380222800834, -0.40124734853291644
171330;1;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.4006295311162082, 39.47248586006033], ""type"": ""Point""}";39.47248586006033, -0.4006295311162082
171331;1;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.4031899568188402, 39.46867853815925], ""type"": ""Point""}";39.46867853815925, -0.4031899568188402
171332;1;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.39281090646466277, 39.472330900748325], ""type"": ""Point""}";39.472330900748325, -0.39281090646466277
171339;2;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.39285819326587323, 39.4935083548159], ""type"": ""Point""}";39.4935083548159, -0.39285819326587323
171342;1;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.38451564184297776, 39.529553396725554], ""type"": ""Point""}";39.529553396725554, -0.38451564184297776
171346;1;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.35994392497929656, 39.47594129137872], ""type"": ""Point""}";39.47594129137872, -0.35994392497929656
171350;2;GIS;2023-06-19T02:56:42+02:00;GIS;2023-06-19T02:56:42+02:00;"{""coordinates"": [-0.35035286201176113, 39.457594019377865], ""type"": ""Point""}";39.457594019377865, -0.35035286201176113
