gid;Número Placa;Cod. Via / Cod. Vía;Portal;Data Alta / Fecha Alta;objectid;Nombre Places / Numero Plazas;Cod. Activitat / Cod. Actividad;Carrer / Calle;NUM_PLAZAS_TRIB;METROS_AUT ;geo_shape;geo_point_2d
100255;Y002366;3660;6;20080717;;1;CD;CAMÍ ALQUERIA DE GILET 6;1;4.0;"{""coordinates"": [-0.38466450027665383, 39.53022300003329], ""type"": ""Point""}";39.53022300003329, -0.38466450027665383
100256;Y002372;67020;44;20080801;;1;CO;CARRER SALVADOR PERLES 44;1;3.5;"{""coordinates"": [-0.39340349946846465, 39.44347199957146], ""type"": ""Point""}";39.44347199957146, -0.39340349946846465
100257;Y002371;81435;2;20080801;;6;CO;CARRER JOSEP BEA I IZQUIERDO 2;6;3.0;"{""coordinates"": [-0.395773747925248, 39.4871713309971], ""type"": ""Point""}";39.4871713309971, -0.395773747925248
100258;Y002376;37290;17;20080918;;1;CO;CARRER ISAAC PERAL 17;1;3.0;"{""coordinates"": [-0.3390055859325651, 39.46017433526083], ""type"": ""Point""}";39.46017433526083, -0.3390055859325651
100260;Y002377;16830;52;20080922;;2;CD;CAMÍ CASES DE BÀRCENA 52;2;4.0;"{""coordinates"": [-0.35902799951062303, 39.519765000367784], ""type"": ""Point""}";39.519765000367784, -0.35902799951062303
100261;Y002378;6510;56;20080922;;28;CO;CARRER ARQUITECTE ALFARO 56;28;5.0;"{""coordinates"": [-0.3344940005798959, 39.46571099982694], ""type"": ""Point""}";39.46571099982694, -0.3344940005798959
100265;Y002833;50910;8;20220906;;1;CO;CARRER VICENT ALBERO MASIÀ 8;1;3.5;"{""coordinates"": [-0.37675350037636796, 39.51785700021799], ""type"": ""Point""}";39.51785700021799, -0.37675350037636796
100267;Y002836;81416;13;20220922;;1;CD;PLAÇA BENIMARFULL 13;1;3.5;"{""coordinates"": [-0.4006750585718394, 39.458396911583385], ""type"": ""Point""}";39.458396911583385, -0.4006750585718394
100268;Y002839;25680;9;20221101;;6;CO;AVINGUDA PORT 9;6;5.0;"{""coordinates"": [-0.3592125002936903, 39.468014999671546], ""type"": ""Point""}";39.468014999671546, -0.3592125002936903
100273;Y002843;70140;9;20221201;;2;CD;CARRER SANTA ROSA 9;2;3.0;"{""coordinates"": [-0.35774999951132264, 39.46876200025445], ""type"": ""Point""}";39.46876200025445, -0.35774999951132264
100275;Y002844;2400;19;20230109;;8;CO;AVINGUDA CAMPANAR 19;8;3.0;"{""coordinates"": [-0.3909810223766332, 39.48551368019656], ""type"": ""Point""}";39.48551368019656, -0.3909810223766332
100276;Y002846;23180;30;20230112;;1;CD;CARRER FOC 30;1;4.5;"{""coordinates"": [-0.39253950013087846, 39.50117099957698], ""type"": ""Point""}";39.50117099957698, -0.39253950013087846
100280;Y002848;65130;17;20230217;;1;CO;CARRER RODRIGO PERTEGÁS 17;1;3.0;"{""coordinates"": [-0.34393500005430166, 39.461795999880124], ""type"": ""Point""}";39.461795999880124, -0.34393500005430166
100285;Y002855;70770;4;20230502;;1;CD;CARRER SEGÀRIA 4;1;3.0;"{""coordinates"": [-0.3892365000201264, 39.48903000024569], ""type"": ""Point""}";39.48903000024569, -0.3892365000201264
100287;Y002852;81193;3;20230308;;4;CD;CARRER NICOLAU PRIMITIU GÓMEZ SERRANO 3;4;3.0;"{""coordinates"": [-0.403281000473842, 39.45669300034818], ""type"": ""Point""}";39.45669300034818, -0.403281000473842
100288;Z000006;36930;30;20010216;;1;CO;CARRER IGNACIO ZULOAGA 30;1;3.0;"{""coordinates"": [-0.33597450040361015, 39.44734200002271], ""type"": ""Point""}";39.44734200002271, -0.33597450040361015
100294;Z000010;26190;25;20010219;;25;CO;CARRER EDUARD BOSCÀ 25;25;3.5;"{""coordinates"": [-0.35742150000054645, 39.46477499992165], ""type"": ""Point""}";39.46477499992165, -0.35742150000054645
100295;Y001197;26370;20;20070425;;0;OT;CARRER BATXILLER 20;6;4.0;"{""coordinates"": [-0.36217754636357763, 39.482247776569686], ""type"": ""Point""}";39.482247776569686, -0.36217754636357763
100298;Y001207;59400;19;19881103;;0;CO;CARRER PINZÓN 19;4;3.0;"{""coordinates"": [-0.3825675000041293, 39.477132000151634], ""type"": ""Point""}";39.477132000151634, -0.3825675000041293
100299;Y001197;37890;16;19860228;;0;OT;CARRER JAUME ROIG 16;6;3.0;"{""coordinates"": [-0.36390400311187365, 39.48158408595886], ""type"": ""Point""}";39.48158408595886, -0.36390400311187365
100300;Y001208;63780;4;19861218;;0;CO;CARRER REUS 4;5;4.0;"{""coordinates"": [-0.3845070002611783, 39.48515999963788], ""type"": ""Point""}";39.48515999963788, -0.3845070002611783
100302;Y001220;72870;21;19890201;;0;CO;AVINGUDA TIRSO DE MOLINA 21;11;3.0;"{""coordinates"": [-0.3964725002719031, 39.47687100014375], ""type"": ""Point""}";39.47687100014375, -0.3964725002719031
100305;Y001248;49500;40;19980327;;0;CO;CAMÍ MONTCADA 40;4;2.5;"{""coordinates"": [-0.37821149978446494, 39.49066799955627], ""type"": ""Point""}";39.49066799955627, -0.37821149978446494
