Carrer / Calle;OBJECTID;Número Finca;created_user;created_date;last_edited_user;last_edited_date;geo_shape;geo_point_2d
MAYOR DE NAZARET;74539;77;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.33410837179172836, 39.45008203497104], ""type"": ""Point""}";39.45008203497104, -0.33410837179172836
RUGAT;74542;7;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.35256748803845395, 39.469294840324956], ""type"": ""Point""}";39.469294840324956, -0.35256748803845395
MAESTRO VALLS;74545;2ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3425774195984394, 39.463221375032035], ""type"": ""Point""}";39.463221375032035, -0.3425774195984394
MENENDEZ Y PELAYO;74549;8ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3610138298367823, 39.479340169369124], ""type"": ""Point""}";39.479340169369124, -0.3610138298367823
CUENCA;74551;87;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.38961588034898764, 39.462565461531], ""type"": ""Point""}";39.462565461531, -0.38961588034898764
PROFESOR ANGEL LACALLE;74559;5;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.40193973261234617, 39.45552826064627], ""type"": ""Point""}";39.45552826064627, -0.40193973261234617
PINTOR STOLZ;74562;55ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.40190217866114847, 39.46984558811289], ""type"": ""Point""}";39.46984558811289, -0.40190217866114847
TRES FORQUES;74563;115;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.40252398624824115, 39.46359937251196], ""type"": ""Point""}";39.46359937251196, -0.40252398624824115
PATRAIX;74564;12;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.39257405027241715, 39.46313656929511], ""type"": ""Point""}";39.46313656929511, -0.39257405027241715
FELIX PIZCUETA;74565;17ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3730663681235149, 39.4668898305304], ""type"": ""Point""}";39.4668898305304, -0.3730663681235149
MARQUES DEL TURIA;74566;64;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.366954874012318, 39.46774530951149], ""type"": ""Point""}";39.46774530951149, -0.366954874012318
DOCTOR GARCIA DONATO;74567;2;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3483280800223791, 39.476647549621866], ""type"": ""Point""}";39.476647549621866, -0.3483280800223791
AMPARO BALLESTER;74569;28;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3352670612313374, 39.47219994614445], ""type"": ""Point""}";39.47219994614445, -0.3352670612313374
SERRERIA;74570;43;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3359566092868213, 39.464963096676755], ""type"": ""Point""}";39.464963096676755, -0.3359566092868213
VICENTE BARRERA CAMBRA;74571;S/N;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3573018012620726, 39.48073003864353], ""type"": ""Point""}";39.48073003864353, -0.3573018012620726
POETA QUINTANA;74573;2ac;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.37057869853370856, 39.47116625043804], ""type"": ""Point""}";39.47116625043804, -0.37057869853370856
ENGUERA;74574;17;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3947296447438757, 39.46647143167586], ""type"": ""Point""}";39.46647143167586, -0.3947296447438757
BURJASOT;74577;35;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3855683598111397, 39.485236658860416], ""type"": ""Point""}";39.485236658860416, -0.3855683598111397
MALVARROSA;74578;46;GIS;2023-06-19T02:56:33+02:00;GIS;2023-06-19T02:56:33+02:00;"{""coordinates"": [-0.3279894625826579, 39.47885596162973], ""type"": ""Point""}";39.47885596162973, -0.3279894625826579
